Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper
,Tobacco,DALYs,2013,2013,143512000.0,129979000.0,159147000.0
,Smoking,DALYs,2013,2013,134196000.0,120872000.0,149759000.0
,Second-hand smoke,DALYs,2013,2013,9316000.0,8417000.0,10277000.0
,Alcohol and drug use,DALYs,2013,2013,126053000.0,107154000.0,142356000.0
,High alcohol use,DALYs,2013,2013,99278000.0,81295000.0,113616000.0
,Drug use,DALYs,2013,2013,28578000.0,24505000.0,33104000.0
,Dietary risks,DALYs,2013,2013,241351000.0,209634000.0,273339000.0
,Diet low in fruits,DALYs,2013,2013,74797000.0,49434000.0,98791000.0
,Diet low in vegetables,DALYs,2013,2013,39176000.0,31050000.0,47658000.0
,Diet low in whole grains,DALYs,2013,2013,51411000.0,39500000.0,63286000.0
,Diet low in nuts and seeds,DALYs,2013,2013,27109000.0,18408000.0,36030000.0
,Diet low in milk,DALYs,2013,2013,2218000.0,633000.0,3713000.0
,Diet high in red meat,DALYs,2013,2013,4147000.0,3349000.0,5026000.0
,Diet high in processed meat,DALYs,2013,2013,17380000.0,12677000.0,23925000.0
,"Diet high in 
sugar sweetened beverages",DALYs,2013,2013,6190000.0,4665000.0,8142000.0
,Diet low in fiber,DALYs,2013,2013,22098000.0,17996000.0,26349000.0
,Diet low in calcium,DALYs,2013,2013,2876000.0,2507000.0,3258000.0
,Diet low in seafood omega-3 fatty acids,DALYs,2013,2013,22448000.0,16887000.0,28205000.0
,"Diet low in 
polyunsaturated fatty acids",DALYs,2013,2013,12670000.0,11103000.0,14342000.0
,Diet high in trans fatty acids,DALYs,2013,2013,9875000.0,5503000.0,15228000.0
,Diet high in sodium,DALYs,2013,2013,74327000.0,40615000.0,116717000.0
,Sexual abuse and violence,DALYs,2013,2013,21290000.0,16743000.0,26065000.0
,Childhood sexual abuse,DALYs,2013,2013,7682000.0,5910000.0,9736000.0
,Intimate partner violence,DALYs,2013,2013,14454000.0,11027000.0,18164000.0
,Unsafe sex,DALYs,2013,2013,73282000.0,67015000.0,82478000.0
,Low physical activity,DALYs,2013,2013,45143000.0,38328000.0,52671000.0
,Metabolic risks,DALYs,2013,2013,373817000.0,343978000.0,403889000.0
,High fasting plasma glucose,DALYs,2013,2013,116893000.0,101592000.0,133368000.0
,High LDL cholesterol*,DALYs,2013,2013,62715000.0,49244000.0,80986000.0
,High systolic blood pressure,DALYs,2013,2013,208129000.0,188307000.0,227509000.0
,High body-mass index,DALYs,2013,2013,134048000.0,112420000.0,156787000.0
,Low bone mineral density,DALYs,2013,2013,14249000.0,11658000.0,17500000.0
,Kidney dysfunction*,DALYs,2013,2013,51906000.0,46246000.0,57573000.0
,All risk factors,Deaths,2015,2015,32234000.0,31456000.0,33035000.0
,Environmental/occupational risks,Deaths,2015,2015,9315000.0,8523000.0,10145000.0
,"Unsafe water, sanitation, and handwashing",Deaths,2015,2015,1766000.0,1586000.0,1944000.0
,Unsafe water source,Deaths,2015,2015,1251000.0,1008000.0,1428000.0
,Unsafe sanitation,Deaths,2015,2015,808000.0,727000.0,895000.0
,No access to handwashing facility,Deaths,2015,2015,927000.0,760000.0,1082000.0
,Air pollution,Deaths,2015,2015,6485000.0,5708000.0,7292000.0
,Ambient particulate matter pollution,Deaths,2015,2015,4241000.0,3698000.0,4777000.0
,Household air pollution from solid fuels,Deaths,2015,2015,2854000.0,2179000.0,3587000.0
,Ambient ozone pollution,Deaths,2015,2015,254000.0,97000.0,422000.0
,Other environmental risks,Deaths,2015,2015,558000.0,293000.0,883000.0
,Residential radon,Deaths,2015,2015,64000.0,42000.0,86000.0
,Lead exposure,Deaths,2015,2015,495000.0,237000.0,815000.0
,Occupational risks,Deaths,2015,2015,1086000.0,1013000.0,1165000.0
,Occupational carcinogens,Deaths,2015,2015,489000.0,461000.0,517000.0
,Occupational exposure to asbestos,Deaths,2015,2015,180000.0,158000.0,205000.0
,Occupational exposure to arsenic,Deaths,2015,2015,9000.0,7000.0,11000.0
,Occupational exposure to benzene,Deaths,2015,2015,6000.0,5000.0,7000.0
,Occupational exposure to beryllium,Deaths,2015,2015,1000.0,0.0,1000.0
,Occupational exposure to cadmium,Deaths,2015,2015,2000.0,2000.0,3000.0
,Occupational exposure to chromium,Deaths,2015,2015,7000.0,6000.0,8000.0
,Occupational exposure to diesel engine exhaust,Deaths,2015,2015,120000.0,106000.0,136000.0
,Occupational exposure to second-hand smoke,Deaths,2015,2015,96000.0,90000.0,103000.0
,Occupational exposure to formaldehyde,Deaths,2015,2015,2000.0,2000.0,2000.0
,Occupational exposure to nickel,Deaths,2015,2015,33000.0,24000.0,43000.0
,Occupational exposure to polycyclic aromatic hydrocarbons,Deaths,2015,2015,18000.0,15000.0,21000.0
,Occupational exposure to silica,Deaths,2015,2015,86000.0,79000.0,95000.0
,Occupational exposure to sulphuric acid,Deaths,2015,2015,8000.0,6000.0,10000.0
,Occupational exposure to trichloroethylene,Deaths,2015,2015,0.0,0.0,0.0
,Occupational asthmagens,Deaths,2015,2015,42000.0,35000.0,48000.0
,"Occupational particulate matter, gases, and fumes",Deaths,2015,2015,357000.0,293000.0,419000.0
,Occupational injuries,Deaths,2015,2015,204000.0,191000.0,232000.0
,Behavioural risks,Deaths,2015,2015,22744000.0,21408000.0,24126000.0
,Child and maternal malnutrition,Deaths,2015,2015,1414000.0,1308000.0,1533000.0
,Suboptimal breastfeeding,Deaths,2015,2015,391000.0,258000.0,550000.0
,Non-exclusive breastfeeding,Deaths,2015,2015,364000.0,227000.0,520000.0
,Discontinued breastfeeding,Deaths,2015,2015,37000.0,13000.0,69000.0
,Childhood undernutrition,Deaths,2015,2015,1265000.0,1160000.0,1383000.0
,Childhood underweight,Deaths,2015,2015,373000.0,304000.0,468000.0
,Child wasting,Deaths,2015,2015,1169000.0,982000.0,1306000.0
,Child stunting,Deaths,2015,2015,257000.0,114000.0,454000.0
,Iron deficiency,Deaths,2015,2015,84000.0,58000.0,114000.0
,Vitamin A deficiency,Deaths,2015,2015,83000.0,50000.0,119000.0
,Zinc deficiency,Deaths,2015,2015,55000.0,3000.0,125000.0
,Tobacco,Deaths,2015,2015,7165000.0,6544000.0,7775000.0
,Smoking,Deaths,2015,2015,6402000.0,5749000.0,7037000.0
,Second-hand smoke,Deaths,2015,2015,886000.0,695000.0,1091000.0
,Alcohol and drug use,Deaths,2015,2015,2750000.0,2424000.0,3051000.0
,High alcohol use,Deaths,2015,2015,2306000.0,1986000.0,2608000.0
,Drug use,Deaths,2015,2015,489000.0,439000.0,537000.0
,Dietary risks,Deaths,2015,2015,12058000.0,10615000.0,13538000.0
,Diet low in fruits,Deaths,2015,2015,2924000.0,1905000.0,4018000.0
,Diet low in vegetables,Deaths,2015,2015,1994000.0,1024000.0,3121000.0
,Diet low in whole grains,Deaths,2015,2015,3142000.0,2215000.0,4189000.0
,Diet low in nuts and seeds,Deaths,2015,2015,2131000.0,1354000.0,3011000.0
,Diet low in milk,Deaths,2015,2015,126000.0,44000.0,212000.0
,Diet high in red meat,Deaths,2015,2015,43000.0,19000.0,69000.0
,Diet high in processed meat,Deaths,2015,2015,541000.0,156000.0,914000.0
,"Diet high in 
sugar sweetened beverages",Deaths,2015,2015,39000.0,27000.0,55000.0
,Diet low in fiber,Deaths,2015,2015,387000.0,183000.0,670000.0
,Diet low in calcium,Deaths,2015,2015,160000.0,95000.0,232000.0
,Diet low in seafood omega-3 fatty acids,Deaths,2015,2015,1472000.0,616000.0,2378000.0
