Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Group,Overarching_group
,Kidney dysfunction*,DALYs,2023,2005,64674839.8397152,55945492.4699421,74450678.0723133,Kidney dysfunction*,Metabolic risks
,Kidney dysfunction*,DALYs,2023,2006,65545563.373649,56646467.7552168,75425074.1137756,Kidney dysfunction*,Metabolic risks
,Kidney dysfunction*,DALYs,2023,2010,69860998.0906139,60172804.3873098,79919879.2452881,Kidney dysfunction*,Metabolic risks
,Kidney dysfunction*,DALYs,2023,2013,74573985.6753011,63691370.762092,85100247.5296142,Kidney dysfunction*,Metabolic risks
,Kidney dysfunction*,DALYs,2023,2015,78297094.9771069,66680424.1646679,89212097.462222,Kidney dysfunction*,Metabolic risks
,Kidney dysfunction*,DALYs,2023,2016,80453735.442388,68579435.5463928,91853146.9624027,Kidney dysfunction*,Metabolic risks
,Kidney dysfunction*,DALYs,2023,2017,82008787.0674321,70192241.2025629,93863732.8540356,Kidney dysfunction*,Metabolic risks
,Kidney dysfunction*,DALYs,2023,2019,82668161.5629075,71182511.4115159,95195492.8237771,Kidney dysfunction*,Metabolic risks
,Kidney dysfunction*,DALYs,2023,2021,88451846.4957958,76490873.5763781,101673497.453708,Kidney dysfunction*,Metabolic risks
,Kidney dysfunction*,DALYs,2023,2023,91057092.4632413,77577498.1385153,104844843.970938,Kidney dysfunction*,Metabolic risks
,Particulate matter pollution,DALYs,2023,1990,280075875.106256,224893167.509155,319415617.215785,Air pollution,Environmental/occupational risks
,Particulate matter pollution,DALYs,2023,2005,254488394.439345,212676383.302727,286714758.724249,Air pollution,Environmental/occupational risks
,Particulate matter pollution,DALYs,2023,2006,252532144.61828,210395170.28527,285541125.385004,Air pollution,Environmental/occupational risks
,Particulate matter pollution,DALYs,2023,2010,245348280.522176,205362901.66675,276446592.207658,Air pollution,Environmental/occupational risks
,Particulate matter pollution,DALYs,2023,2013,243737281.514115,205232037.101124,275511724.223062,Air pollution,Environmental/occupational risks
,Particulate matter pollution,DALYs,2023,2015,243342221.222686,205307200.003844,274865970.212246,Air pollution,Environmental/occupational risks
,Particulate matter pollution,DALYs,2023,2016,243590483.47818,204753312.199405,276189102.042952,Air pollution,Environmental/occupational risks
,Particulate matter pollution,DALYs,2023,2017,240970703.957711,201978095.870103,273481352.552039,Air pollution,Environmental/occupational risks
,Particulate matter pollution,DALYs,2023,2019,228666907.876533,191834385.541626,261004736.003426,Air pollution,Environmental/occupational risks
,Particulate matter pollution,DALYs,2023,2021,221721732.197064,187696921.2337,254956124.804716,Air pollution,Environmental/occupational risks
,Particulate matter pollution,DALYs,2023,2023,227944406.040219,189924789.664386,260701417.089274,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,1990,333875.450859084,-437685.215443574,1207663.20923571,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,2005,311984.834677452,-403836.140849031,1191002.30608334,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,2006,310236.657686649,-401295.346663062,1194294.80980125,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,2010,301966.930844294,-370530.215138016,1188458.36423314,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,2013,288163.819126512,-336084.004937373,1132457.73860007,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,2015,277984.398528049,-312065.942017418,1099659.91342694,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,2016,269175.714691874,-293931.943312229,1059664.49540056,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,2017,255957.794456654,-276865.968021656,1009698.83125904,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,2019,230085.173540543,-243419.397241348,944703.834766814,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,2021,226937.741492132,-240199.736972268,937794.282648882,Air pollution,Environmental/occupational risks
,Nitrogen dioxide pollution,DALYs,2023,2023,232616.86603497,-250029.797300153,956020.320254579,Air pollution,Environmental/occupational risks
,Unsafe sanitation,Deaths,2023,2007,1171309.80729957,913876.473187668,1600014.73432839,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Other environmental risks,Deaths,2023,2007,2648820.87408318,1967919.19702404,3300293.40428469,Other environmental risks,Environmental/occupational risks
,Suboptimal breastfeeding,Deaths,2023,2007,246946.260350767,177135.616945676,310894.849702115,Child and maternal malnutrition,Behavioural risks
,Tobacco,Deaths,2023,2007,6685239.70442011,5776673.10249162,7565606.52231905,Tobacco,Behavioural risks
,High alcohol use,Deaths,2023,2007,1305434.69143621,1038345.32981879,1738435.23358648,High alcohol use,Behavioural risks
,Metabolic risks,Deaths,2023,2007,13825777.7340589,12691885.5351778,15017122.2935277,Other,Metabolic risks
,High body-mass index,Deaths,2023,2007,2229713.68331063,1168271.56725807,3297064.9467315,High body-mass index,Metabolic risks
,Diet low in vegetables,Deaths,2023,2007,715023.099298018,370026.418332998,1079629.91256516,Dietary risks,Behavioural risks
,Diet high in red meat,Deaths,2023,2007,220544.584936941,2.8380762e-09,313206.577381517,Dietary risks,Behavioural risks
,Diet low in seafood omega-3 fatty acids,Deaths,2023,2007,525443.929313237,110161.078876575,970227.683533297,Dietary risks,Behavioural risks
,Air pollution,Deaths,2023,2007,7702198.92194632,6401126.70598176,8790093.09747617,Air pollution,Environmental/occupational risks
,Lead exposure,Deaths,2023,2007,2584831.74529847,1928455.3044735,3206029.21842638,Other environmental risks,Environmental/occupational risks
,Unsafe water source,Deaths,2023,2007,1425797.30833419,728985.67325736,2030028.01161587,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Ambient ozone pollution,Deaths,2023,2007,363353.201710623,88229.5397950731,623235.444062979,Air pollution,Environmental/occupational risks
,Iron deficiency,Deaths,2023,2007,56552.2112956002,30171.7985574145,75215.9893849433,Child and maternal malnutrition,Behavioural risks
,"Unsafe water, sanitation, and handwashing",Deaths,2023,2007,2085000.82481652,1387769.02016357,2932147.04556577,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Drug use,Deaths,2023,2007,362210.80564814,314082.518792814,410912.897233133,Drug use,Behavioural risks
