Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Group,Overarching_group
2.0,Dietary risks,Deaths,2017,2017,10900000.0,10100000.0,11700000.0,Dietary risks,Behavioural risks
3.0,Diet low in fruits,Deaths,2017,2017,2420000.0,1480000.0,3530000.0,Dietary risks,Behavioural risks
3.0,Diet low in vegetables,Deaths,2017,2017,1460000.0,732000.0,2400000.0,Dietary risks,Behavioural risks
3.0,Diet low in legumes,Deaths,2017,2017,535000.0,214000.0,909000.0,Dietary risks,Behavioural risks
3.0,Diet low in whole grains,Deaths,2017,2017,3070000.0,2110000.0,4120000.0,Dietary risks,Behavioural risks
3.0,Diet low in nuts and seeds,Deaths,2017,2017,2060000.0,1330000.0,2880000.0,Dietary risks,Behavioural risks
3.0,Diet low in milk,Deaths,2017,2017,126000.0,45000.0,220000.0,Dietary risks,Behavioural risks
3.0,Diet high in red meat,Deaths,2017,2017,25000.0,11000.0,40000.0,Dietary risks,Behavioural risks
3.0,Diet high in processed meat,Deaths,2017,2017,130000.0,26000.0,265000.0,Dietary risks,Behavioural risks
3.0,"Diet high in 
sugar sweetened beverages",Deaths,2017,2017,137000.0,20000.0,264000.0,Dietary risks,Behavioural risks
3.0,Diet low in fiber,Deaths,2017,2017,873000.0,510000.0,1330000.0,Dietary risks,Behavioural risks
3.0,Diet low in calcium,Deaths,2017,2017,185000.0,116000.0,262000.0,Dietary risks,Behavioural risks
3.0,Diet low in seafood omega-3 fatty acids,Deaths,2017,2017,1440000.0,667000.0,2380000.0,Dietary risks,Behavioural risks
3.0,"Diet low in 
polyunsaturated fatty acids",Deaths,2017,2017,799000.0,343000.0,1310000.0,Dietary risks,Behavioural risks
3.0,Diet high in trans fatty acids,Deaths,2017,2017,258000.0,80000.0,577000.0,Dietary risks,Behavioural risks
3.0,Diet high in sodium,Deaths,2017,2017,3200000.0,1420000.0,5450000.0,Dietary risks,Behavioural risks
2.0,Intimate partner violence,Deaths,2017,2017,71000.0,49000.0,97000.0,Intimate partner violence,Behavioural risks
2.0,Unsafe sex,Deaths,2017,2017,1030000.0,980000.0,1080000.0,Unsafe sex,Behavioural risks
2.0,Low physical activity,Deaths,2017,2017,1260000.0,681000.0,2010000.0,Low physical activity,Behavioural risks
1.0,Metabolic risks,Deaths,2017,2017,17600000.0,16100000.0,18900000.0,Other,Metabolic risks
2.0,High fasting plasma glucose,Deaths,2017,2017,6530000.0,5230000.0,8230000.0,High fasting plasma glucose,Metabolic risks
2.0,High LDL cholesterol*,Deaths,2017,2017,4320000.0,3330000.0,5440000.0,High LDL cholesterol*,Metabolic risks
2.0,High systolic blood pressure,Deaths,2017,2017,10400000.0,9390000.0,11500000.0,High systolic blood pressure,Metabolic risks
2.0,High body-mass index,Deaths,2017,2017,4720000.0,2990000.0,6700000.0,High body-mass index,Metabolic risks
2.0,Low bone mineral density,Deaths,2017,2017,327000.0,308000.0,347000.0,Low bone mineral density,Metabolic risks
2.0,Kidney dysfunction*,Deaths,2017,2017,2590000.0,2390000.0,2800000.0,Kidney dysfunction*,Metabolic risks
0.0,All risk factors,DALYs,2017,2017,1210000000.0,1140000000.0,1280000000.0,Other,All risk factors
1.0,Environmental/occupational risks,DALYs,2017,2017,308000000.0,283000000.0,333000000.0,Other,Environmental/occupational risks
2.0,"Unsafe water, sanitation, and handwashing",DALYs,2017,2017,84400000.0,71800000.0,102000000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
3.0,Unsafe water source,DALYs,2017,2017,63900000.0,40800000.0,83100000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
3.0,Unsafe sanitation,DALYs,2017,2017,41500000.0,34100000.0,49700000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
3.0,No access to handwashing facility,DALYs,2017,2017,38400000.0,22800000.0,52100000.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
2.0,Air pollution,DALYs,2017,2017,147000000.0,132000000.0,162000000.0,Air pollution,Environmental/occupational risks
3.0,Particulate matter pollution,DALYs,2017,2017,143000000.0,129000000.0,156000000.0,Air pollution,Environmental/occupational risks
4.0,Ambient particulate matter pollution,DALYs,2017,2017,83000000.0,71400000.0,94300000.0,Air pollution,Environmental/occupational risks
4.0,Household air pollution from solid fuels,DALYs,2017,2017,59500000.0,50800000.0,68900000.0,Air pollution,Environmental/occupational risks
3.0,Ambient ozone pollution,DALYs,2017,2017,7370000.0,2740000.0,12000000.0,Air pollution,Environmental/occupational risks
2.0,Other environmental risks,DALYs,2017,2017,26400000.0,18400000.0,34800000.0,Other environmental risks,Environmental/occupational risks
3.0,Residential radon,DALYs,2017,2017,1930000.0,1080000.0,3020000.0,Other environmental risks,Environmental/occupational risks
3.0,Lead exposure,DALYs,2017,2017,24400000.0,16700000.0,32800000.0,Other environmental risks,Environmental/occupational risks
2.0,Occupational risks,DALYs,2017,2017,63700000.0,54900000.0,73200000.0,Occupational risks,Environmental/occupational risks
3.0,Occupational carcinogens,DALYs,2017,2017,6750000.0,5490000.0,8120000.0,Occupational risks,Environmental/occupational risks
3.0,Occupational asthmagens,DALYs,2017,2017,1910000.0,1500000.0,2410000.0,Occupational risks,Environmental/occupational risks
3.0,"Occupational particulate matter, gases, and fumes",DALYs,2017,2017,12100000.0,10200000.0,13900000.0,Occupational risks,Environmental/occupational risks
3.0,Occupational noise,DALYs,2017,2017,5980000.0,4080000.0,8430000.0,Occupational risks,Environmental/occupational risks
3.0,Occupational injuries,DALYs,2017,2017,21100000.0,19200000.0,23500000.0,Occupational risks,Environmental/occupational risks
3.0,Occupational ergonomic factors,DALYs,2017,2017,15900000.0,11200000.0,21800000.0,Occupational risks,Environmental/occupational risks
1.0,Behavioural risks,DALYs,2017,2017,913000000.0,863000000.0,961000000.0,Other,Behavioural risks
2.0,Child and maternal malnutrition,DALYs,2017,2017,327000000.0,303000000.0,352000000.0,Child and maternal malnutrition,Behavioural risks
3.0,Suboptimal breastfeeding,DALYs,2017,2017,15000000.0,11700000.0,18600000.0,Child and maternal malnutrition,Behavioural risks
3.0,Child growth failure,DALYs,2017,2017,100000000.0,89800000.0,110000000.0,Child and maternal malnutrition,Behavioural risks
3.0,Low birth weight and short gestation,DALYs,2017,2017,178000000.0,169000000.0,187000000.0,Child and maternal malnutrition,Behavioural risks
3.0,Iron deficiency,DALYs,2017,2017,33700000.0,23200000.0,47200000.0,Child and maternal malnutrition,Behavioural risks
3.0,Vitamin A deficiency,DALYs,2017,2017,29000000.0,23000000.0,35600000.0,Child and maternal malnutrition,Behavioural risks
3.0,Zinc deficiency,DALYs,2017,2017,2580000.0,235000.0,6750000.0,Child and maternal malnutrition,Behavioural risks
2.0,Tobacco,DALYs,2017,2017,213000000.0,201000000.0,227000000.0,Tobacco,Behavioural risks
3.0,Smoking,DALYs,2017,2017,182000000.0,173000000.0,193000000.0,Tobacco,Behavioural risks
3.0,Chewing tobacco,DALYs,2017,2017,1890000.0,1530000.0,2270000.0,Tobacco,Behavioural risks
3.0,Second-hand smoke,DALYs,2017,2017,36300000.0,28600000.0,45100000.0,Tobacco,Behavioural risks
2.0,High alcohol use,DALYs,2017,2017,108000000.0,96200000.0,120000000.0,High alcohol use,Behavioural risks
2.0,Drug use,DALYs,2017,2017,41700000.0,35300000.0,48200000.0,Drug use,Behavioural risks
2.0,Dietary risks,DALYs,2017,2017,255000000.0,234000000.0,274000000.0,Dietary risks,Behavioural risks
3.0,Diet low in fruits,DALYs,2017,2017,64800000.0,40600000.0,92000000.0,Dietary risks,Behavioural risks
3.0,Diet low in vegetables,DALYs,2017,2017,34200000.0,17700000.0,55700000.0,Dietary risks,Behavioural risks
3.0,Diet low in legumes,DALYs,2017,2017,11000000.0,4390000.0,18700000.0,Dietary risks,Behavioural risks
3.0,Diet low in whole grains,DALYs,2017,2017,82500000.0,59000000.0,109000000.0,Dietary risks,Behavioural risks
3.0,Diet low in nuts and seeds,DALYs,2017,2017,49900000.0,33100000.0,68000000.0,Dietary risks,Behavioural risks
3.0,Diet low in milk,DALYs,2017,2017,2720000.0,965000.0,4730000.0,Dietary risks,Behavioural risks
3.0,Diet high in red meat,DALYs,2017,2017,1310000.0,508000.0,2250000.0,Dietary risks,Behavioural risks
3.0,Diet high in processed meat,DALYs,2017,2017,3570000.0,1260000.0,6770000.0,Dietary risks,Behavioural risks
3.0,"Diet high in 
sugar sweetened beverages",DALYs,2017,2017,4450000.0,1490000.0,7700000.0,Dietary risks,Behavioural risks
3.0,Diet low in fiber,DALYs,2017,2017,19900000.0,11600000.0,30400000.0,Dietary risks,Behavioural risks
3.0,Diet low in calcium,DALYs,2017,2017,3890000.0,2450000.0,5480000.0,Dietary risks,Behavioural risks
3.0,Diet low in seafood omega-3 fatty acids,DALYs,2017,2017,32400000.0,15200000.0,52700000.0,Dietary risks,Behavioural risks
3.0,"Diet low in 
polyunsaturated fatty acids",DALYs,2017,2017,17900000.0,7770000.0,29000000.0,Dietary risks,Behavioural risks
3.0,Diet high in trans fatty acids,DALYs,2017,2017,6160000.0,1870000.0,13800000.0,Dietary risks,Behavioural risks
3.0,Diet high in sodium,DALYs,2017,2017,70400000.0,33600000.0,118000000.0,Dietary risks,Behavioural risks
2.0,Intimate partner violence,DALYs,2017,2017,6700000.0,5150000.0,8580000.0,Intimate partner violence,Behavioural risks
2.0,Unsafe sex,DALYs,2017,2017,50200000.0,47100000.0,53400000.0,Unsafe sex,Behavioural risks
2.0,Low physical activity,DALYs,2017,2017,23700000.0,12500000.0,37300000.0,Low physical activity,Behavioural risks
1.0,Metabolic risks,DALYs,2017,2017,423000000.0,386000000.0,462000000.0,Other,Metabolic risks
2.0,High fasting plasma glucose,DALYs,2017,2017,171000000.0,144000000.0,201000000.0,High fasting plasma glucose,Metabolic risks
