,Overarching_group,Group,Risk_factor,anal_year,median_Deaths,min_Deaths,max_Deaths,n_estimates_Deaths,mean_Deaths,std_Deaths,mad_Deaths,range_Deaths,fold_range_vs_median_Deaths,rmu_Deaths,cv_Deaths,max_vs_min_Deaths,f_med_Deaths,rcv_m_Deaths,median_DALYs,min_DALYs,max_DALYs,n_estimates_DALYs,mean_DALYs,std_DALYs,mad_DALYs,range_DALYs,fold_range_vs_median_DALYs,rmu_DALYs,cv_DALYs,max_vs_min_DALYs,f_med_DALYs,rcv_m_DALYs
148,Behavioural risks,Dietary risks,Diet low in fiber,2005,516974.20855242154,334000.0,617643.652361845,4.0,496398.017366672,137537.97177161512,93389.48601351152,283643.652361845,0.5486611279043785,0.5714036769657911,0.27707196032175246,1.8492324921013323,1.5478269717138369,0.26771783965696594,14098268.302883051,7666000.0,17281294.9491386,4,13285957.888726175,4248714.232107461,2404561.3354770998,9615294.9491386,0.6820195745013806,0.7237186079972207,0.31978983131601796,2.254277974059301,1.8390644798960412,0.2527657881534518
149,Behavioural risks,Dietary risks,Diet low in fiber,2006,602712.6806165305,429352.568284386,769740.0,4.0,601129.4823793618,139021.6207803287,85727.40176004352,340387.431715614,0.5647590347152193,0.5662464438914373,0.2312673473110319,1.7927923502955616,1.4037709918095043,0.21079365590653207,16302245.2599096,12404293.7360121,18522140.0,4,15882731.063957825,2607214.8224618663,1459002.7549913004,6117846.263987901,0.3752762988441155,0.3851885572671399,0.1641540621674528,1.493203917465014,1.3142421170325065,0.13263461863222498
150,Behavioural risks,Dietary risks,Diet low in fiber,2007,598969.9208582444,428308.204787478,737000.0,4.0,590812.0116259918,126420.01504919142,71092.97325551207,308691.795212522,0.5153711137450903,0.522487337999378,0.21397671774016078,1.720723515828261,1.3984553976859886,0.175901631610653,16181364.7290999,12329271.0253704,17700000.0,4,15598000.12089255,2357094.272243023,1091743.9996316507,5370728.9746296,0.3319082824312774,0.3443216395053006,0.15111515924954005,1.4356079904138737,1.3124348305591549,0.09998937880340993
151,Behavioural risks,Dietary risks,Diet low in fiber,2010,594249.498361924,422498.093893512,742888.0,4.0,588471.27265434,131063.26362220715,77367.60441440804,320389.906106488,0.5391504864365179,0.5444444291415406,0.22271820174167095,1.758322725562971,1.406514033911123,0.19294722176159163,15874507.305892099,12008755.850846,16602014.8435276,4,15089946.32653945,2135271.523070883,652500.1158717014,4593258.9926816,0.28934812931023896,0.3043920033435244,0.141502923659541,1.3824924954534745,1.3219110708103672,0.060915602171976745
152,Behavioural risks,Dietary risks,Diet low in fiber,2013,590370.162044495,434758.252530063,1009000.0,4.0,656124.6441547632,246498.57039584845,81568.19615313449,574241.747469937,0.9726808439662599,0.8752022235191151,0.37568863262771407,2.32083001099612,1.7090972153906954,0.20475978372672993,15726812.6712971,12233616.5752587,22098000.0,4,16446310.479463225,4148031.827078055,2081031.4413090004,9864383.4247413,0.627233478958182,0.5997930926245808,0.2522165583738535,1.8063341992171846,1.4051162471293952,0.19610385527441856
153,Behavioural risks,Dietary risks,Diet low in fiber,2015,511616.4920133135,387000.0,597349.495627105,4.0,501895.619913433,105500.24923127337,79760.72762673901,210349.495627105,0.41114682366734806,0.41911004456142914,0.21020356633012668,1.5435387483904521,1.3220064393108877,0.23104297884860056,13613317.79106665,8393000.0,16293996.924529,4,12978408.126665574,3502398.198772518,2045238.68183445,7900996.924528999,0.5803873123210127,0.6087801252216386,0.26986346588812027,1.9413793547633742,1.6219847243019958,0.22265282960394053
154,Behavioural risks,Dietary risks,Diet low in fiber,2016,594197.5372341545,443250.555864297,877850.0,4.0,627373.9075831515,181584.87372942403,78599.48017480099,434599.444135703,0.7314056637775007,0.6927279551837301,0.2894364453710676,1.9804825699276898,1.477370646950472,0.19603654057750197,15711855.6154851,12307748.9263724,20119470.0,4,15962732.53933565,3247427.714380938,2032604.076409,7811721.0736276,0.4971864090915283,0.4893724213180806,0.20343808344708958,1.6346994174449767,1.2805279333251316,0.1917226911294483
155,Behavioural risks,Dietary risks,Diet low in fiber,2017,595333.5105538459,441155.816147678,873000.0,4.0,626205.7093138425,179886.94951510098,78704.15015065597,431844.183852322,0.7253819517913114,0.6896203235283661,0.2872649463899171,1.9788926452864923,1.4664049386164029,0.19592303886062282,15679764.96225685,12165634.1100119,19900000.0,4,15856291.0086314,3200842.351346162,2053148.5297888005,7734365.8899881,0.49327052469253735,0.48777900744744684,0.2018657673224954,1.6357552610942805,1.2888571874237893,0.19405687065280125
156,Behavioural risks,Dietary risks,Diet low in fiber,2019,605237.643733652,423552.324123842,606223.954557137,3.0,545004.6408048769,105181.94770326771,986.3108234850224,182671.63043329498,0.3018180252411458,0.33517444945701896,0.1929927560762277,1.4312846843921079,1.4289560209252616,0.002415105298784194,15297367.3445709,11699329.6611623,16356769.7912261,3,14451155.598986432,2441309.664924958,1059402.4466552008,4657440.1300638,0.3044602398017686,0.32228842172251343,0.16893525560656097,1.3980946143884534,1.3075422086235275,0.10263428932431432
157,Behavioural risks,Dietary risks,Diet low in fiber,2021,534995.4406448359,451207.578861854,618783.302427818,2.0,534995.4406448359,118493.93049573543,83787.86178298199,167575.72356596397,0.3132283209067784,0.3132283209067784,0.22148586977285897,1.3713938582074894,1.1856969291037447,0.23210218579192277,14601281.7274845,12505955.9778984,16696607.4770706,2,14601281.7274845,2963238.092654234,2095325.7495860998,4190651.4991721995,0.28700572849601214,0.28700572849601214,0.20294369685891533,1.3350924556729833,1.1675462278364916,0.212671244815545
