,Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Rank
881,,Diet high in red meat,DALYs,2019,2019,23861073.7568091,15599234.0816413,32020022.0711741,5.0
882,,Diet high in processed meat,DALYs,2019,2019,8556880.5715729,5293182.26883161,12676193.1894375,11.0
883,,"Diet high in 
sugar sweetened beverages",DALYs,2019,2019,6307561.76006201,4300765.17816272,8079555.92331289,14.0
884,,Diet low in fiber,DALYs,2019,2019,15297367.3445709,9111327.66795394,21951846.984253,7.0
885,,Diet low in seafood omega-3 fatty acids,DALYs,2019,2019,7409654.91259736,3373472.42294569,9686982.23666079,13.0
886,,"Diet low in 
polyunsaturated fatty acids",DALYs,2019,2019,8012899.22559144,969247.907817242,16249212.8651237,12.0
887,,Diet high in trans fatty acids,DALYs,2019,2019,14234236.9514579,1580401.88499012,19410190.7866601,8.0
888,,Diet high in sodium,DALYs,2019,2019,44866637.6268002,13024501.4945786,94682290.1903748,1.0
889,,Low physical activity,DALYs,2019,2019,15747938.2067888,8515093.96991076,28617800.8337841,6.0
901,,Diet low in calcium,DALYs,2019,2019,3144597.44987367,2248008.20499137,4259658.53644986,16.0
925,,Diet low in legumes,DALYs,2019,2019,24309038.5396405,5263142.14320042,39575296.5905358,4.0
1026,,Diet low in nuts and seeds,DALYs,2021,2021,16261043.0992492,4808156.27374184,26189581.65747,7.0
1027,,"Diet high in 
sugar sweetened beverages",DALYs,2021,2021,3607896.69797593,1703480.5472624,5566159.87043159,13.0
1028,,Diet high in trans fatty acids,DALYs,2021,2021,2491995.345688,241561.977884194,4781960.75832411,15.0
1048,,Diet low in fruits,DALYs,2021,2021,43766703.1514532,17669818.0522956,65157800.464563,1.0
1049,,Diet low in legumes,DALYs,2021,2021,9162566.76677788,-7635024.71790058,22951528.2628056,12.0
1050,,Diet low in milk,DALYs,2021,2021,3492706.30713802,1198014.74936925,5497563.17593175,14.0
1051,,Diet low in fiber,DALYs,2021,2021,16696607.4770706,5749429.09678298,26277841.6631708,6.0
1054,,Diet high in sodium,DALYs,2021,2021,41275914.0878416,9297839.44774784,91456678.4755488,2.0
1063,,Diet low in whole grains,DALYs,2021,2021,40414150.1864352,16951268.4172593,60948336.8058418,3.0
1064,,Diet high in processed meat,DALYs,2021,2021,10357090.9912955,2261201.53985669,17731835.6468282,10.0
